UID,채무 불이행 확률
TEST_0000,4.215756903650642e-05
TEST_0001,0.00047965218821150173
TEST_0002,0.00047965218821150173
TEST_0003,0.0007218949349902272
TEST_0004,0.0006971855485072362
TEST_0005,0.0002809093115967155
TEST_0006,0.0002183408836670374
TEST_0007,0.00021724326117940462
TEST_0008,0.00016025237914151123
TEST_0009,0.00047965218821150173
TEST_0010,0.0010140261602174401
TEST_0011,0.00021724326117940462
TEST_0012,0.00045106731672944083
TEST_0013,0.0005558681589039302
TEST_0014,0.0005665600888500025
TEST_0015,0.0011588659233423308
TEST_0016,0.0006098554620956419
TEST_0017,0.0005483476554642828
TEST_0018,0.00021724326117940462
TEST_0019,0.0005483476554642828
TEST_0020,0.0005166633980118724
TEST_0021,4.0012441557372306e-05
TEST_0022,0.0006971855485072362
TEST_0023,0.0010450129530409343
TEST_0024,0.0005483476554642828
TEST_0025,0.00021724326117940462
TEST_0026,0.0002809093115967155
TEST_0027,0.00047965218821150173
TEST_0028,0.0005826548509359491
TEST_0029,0.0020819761452850797
TEST_0030,4.0012441557372306e-05
TEST_0031,0.0006971855485072362
TEST_0032,0.00021724326117940462
TEST_0033,0.0005166633980118724
TEST_0034,0.0006971855485072362
TEST_0035,0.0006971855485072362
TEST_0036,0.00020018648236576586
TEST_0037,0.00021724326117940462
TEST_0038,0.0062810064163358326
TEST_0039,0.00020018648236576586
TEST_0040,7.098555278772786e-05
TEST_0041,5.582381188107642e-05
TEST_0042,0.00027118558502530106
TEST_0043,0.00021724326117940462
TEST_0044,0.0002756980248220369
TEST_0045,0.0009115566081699923
TEST_0046,0.001301567652245646
TEST_0047,0.0010598772772369436
TEST_0048,0.00020018648236576586
TEST_0049,0.0005483476554642828
TEST_0050,0.0006971855485072362
TEST_0051,0.00019226259320907643
TEST_0052,0.0002809093115967155
TEST_0053,0.00021724326117940462
TEST_0054,0.0011263458487806434
TEST_0055,0.00021724326117940462
TEST_0056,4.215756903650642e-05
TEST_0057,2.970603531165052e-05
TEST_0058,0.0010598772772369436
TEST_0059,0.0003547530522314697
TEST_0060,0.00021724326117940462
TEST_0061,7.457943134494756e-05
TEST_0062,0.0010202952442000218
TEST_0063,0.00021724326117940462
TEST_0064,0.001259723816053532
TEST_0065,0.0004070239064671853
TEST_0066,0.0006971855485072362
TEST_0067,0.0005483476554642828
TEST_0068,0.0005483476554642828
TEST_0069,0.00021724326117940462
TEST_0070,0.0002762343948012043
TEST_0071,0.00021724326117940462
TEST_0072,0.0009115566081699923
TEST_0073,0.0004070239064671853
TEST_0074,0.0002809093115967155
TEST_0075,0.0003948777902664751
TEST_0076,0.0005483476554642828
TEST_0077,0.0005483476554642828
TEST_0078,0.0001315046591604479
TEST_0079,0.0006971855485072362
TEST_0080,0.00023184765422603191
TEST_0081,0.00021724326117940462
TEST_0082,0.00025167287460700356
TEST_0083,4.215756903650642e-05
TEST_0084,0.0003547530522314697
TEST_0085,0.00012359364040576829
TEST_0086,0.0005175221857199073
TEST_0087,0.00021724326117940462
TEST_0088,0.00015164673058416648
TEST_0089,0.00021724326117940462
TEST_0090,0.0009177954736546109
TEST_0091,4.9351099763838035e-05
TEST_0092,0.0005483476554642828
TEST_0093,0.001011669527227313
TEST_0094,0.0005483476554642828
TEST_0095,0.00143184491477831
TEST_0096,0.00024280592037750364
TEST_0097,4.215756903650642e-05
TEST_0098,0.00047965218821150173
TEST_0099,0.0009077916173798925
TEST_0100,0.0009115566081699923
TEST_0101,0.0002762343948012043
TEST_0102,0.00030722892053933453
TEST_0103,0.00021724326117940462
TEST_0104,0.00047965218821150173
TEST_0105,0.00013225564363945525
TEST_0106,0.000754963281561293
TEST_0107,0.00021724326117940462
TEST_0108,0.0002987616450306813
TEST_0109,0.0005826548509359491
TEST_0110,0.00021724326117940462
TEST_0111,0.0011820204325121155
TEST_0112,3.887013697331318e-05
TEST_0113,0.0002809093115967155
TEST_0114,0.00012359364040576829
TEST_0115,5.582381188107642e-05
TEST_0116,0.0002183408836670374
TEST_0117,0.00018539089471536333
TEST_0118,0.0005166633980118724
TEST_0119,0.0007218949349902272
TEST_0120,5.040770645630924e-05
TEST_0121,0.00021724326117940462
TEST_0122,0.0005483476554642828
TEST_0123,0.0002762343948012043
TEST_0124,0.00021724326117940462
TEST_0125,5.831328339997155e-05
TEST_0126,0.0009177954736546109
TEST_0127,0.0005483476554642828
TEST_0128,0.00030063227976246466
TEST_0129,0.0010475879781937367
TEST_0130,0.001301567652245646
TEST_0131,0.00034196181067548334
TEST_0132,0.00023184765422603191
TEST_0133,0.0005483476554642828
TEST_0134,0.0006098554620956419
TEST_0135,0.00021724326117940462
TEST_0136,0.0002545471269586076
TEST_0137,0.00021724326117940462
TEST_0138,0.0005483476554642828
TEST_0139,0.0020819761452850797
TEST_0140,0.0014761110289487418
TEST_0141,0.0004070239064671853
TEST_0142,0.00013225564363945525
TEST_0143,0.00019282894647569215
TEST_0144,0.0006971855485072362
TEST_0145,0.0002502025868225721
TEST_0146,0.0011263458487806434
TEST_0147,0.00039847653259281505
TEST_0148,0.0006098554620956419
TEST_0149,0.0003547530522314697
TEST_0150,0.000523137360242495
TEST_0151,0.00023184765422603191
TEST_0152,0.0009297743983264878
TEST_0153,0.0005483476554642828
TEST_0154,0.00020018648236576586
TEST_0155,8.368702431857222e-05
TEST_0156,0.00020018648236576586
TEST_0157,3.4196812495323275e-05
TEST_0158,0.0008846999063774041
TEST_0159,3.7113126907306063e-05
TEST_0160,0.0014761110289487418
TEST_0161,0.00047965218821150173
TEST_0162,0.00021724326117940462
TEST_0163,0.0002762343948012043
TEST_0164,0.0009115566081699923
TEST_0165,4.536193796743772e-05
TEST_0166,0.0010202952442000218
TEST_0167,0.0007200964670795973
TEST_0168,0.00021724326117940462
TEST_0169,0.00021724326117940462
TEST_0170,0.0002545471269586076
